VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2021-01-01 00:54:20,2021-01-01 00:59:17,1.0,1.16,1.0,N,140,262,2,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5,
1,2021-01-01 00:37:06,2021-01-01 00:42:58,1.0,1.4,1.0,N,264,238,1,6.5,3.0,0.5,2.0,0.0,0.3,12.3,2.5,
2,2021-01-01 00:28:07,2021-01-01 00:36:27,5.0,2.01,1.0,N,170,114,1,9.0,0.5,0.5,2.0,0.0,0.3,14.8,2.5,
2,2021-01-01 00:54:10,2021-01-01 01:05:19,2.0,3.45,1.0,N,186,87,1,12.0,0.5,0.5,10.08,0.0,0.3,25.88,2.5,
2,2021-01-01 00:50:48,2021-01-01 01:11:59,1.0,3.79,1.0,N,209,256,1,17.0,0.5,0.5,4.16,0.0,0.3,24.96,2.5,
1,2021-01-01 00:22:52,2021-01-01 00:43:49,1.0,17.2,2.0,N,132,107,1,52.0,2.5,0.5,12.25,6.12,0.3,73.67,2.5,
1,2021-01-01 00:52:27,2021-01-01 01:01:14,1.0,3.1,1.0,N,232,112,1,11.0,3.0,0.5,2.95,0.0,0.3,17.75,2.5,
2,2021-01-01 00:08:04,2021-01-01 00:17:55,3.0,2.85,1.0,N,164,141,1,10.5,0.5,0.5,4.29,0.0,0.3,18.59,2.5,
2,2021-01-01 00:22:02,2021-01-01 00:28:11,3.0,1.68,1.0,N,141,236,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5,
2,2021-01-01 00:33:33,2021-01-01 00:36:07,3.0,0.77,1.0,N,263,236,1,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5,
2,2021-01-01 00:39:08,2021-01-01 00:41:15,2.0,0.52,1.0,N,141,236,1,4.0,0.5,0.5,1.5,0.0,0.3,9.3,2.5,
2,2021-01-01 00:45:29,2021-01-01 00:46:58,3.0,0.4,1.0,N,141,140,1,3.5,0.5,0.5,0.5,0.0,0.3,7.8,2.5,
2,2021-01-01 00:55:19,2021-01-01 00:58:45,2.0,1.05,1.0,N,263,75,1,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5,
2,2021-01-01 00:44:58,2021-01-01 01:07:41,2.0,5.85,1.0,N,249,238,1,21.5,0.5,0.5,5.06,0.0,0.3,30.36,2.5,
2,2021-01-01 00:34:36,2021-01-01 00:44:07,1.0,0.27,1.0,N,229,229,2,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5,
1,2021-01-01 00:46:05,2021-01-01 00:59:55,1.0,3.7,1.0,N,249,229,1,13.5,3.0,0.5,10.0,0.0,0.3,27.3,2.5,
1,2021-01-01 00:06:23,2021-01-01 00:20:09,2.0,3.7,1.0,Y,164,87,1,13.5,3.0,0.5,4.3,0.0,0.3,21.6,2.5,
2,2021-01-01 00:36:53,2021-01-01 01:01:27,3.0,16.54,2.0,N,132,229,1,52.0,0.0,0.5,11.06,0.0,0.3,66.36,2.5,
2,2021-01-01 00:04:44,2021-01-01 00:15:06,1.0,2.19,1.0,N,113,87,1,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5,
2,2021-01-01 00:23:01,2021-01-01 00:40:05,1.0,4.09,1.0,N,261,48,1,15.5,0.5,0.5,3.86,0.0,0.3,23.16,2.5,
2,2021-01-01 00:30:06,2021-01-01 00:41:00,1.0,3.26,1.0,N,125,48,2,11.5,0.5,0.5,0.0,0.0,0.3,15.3,2.5,
2,2021-01-01 00:46:50,2021-01-01 00:51:49,1.0,1.11,1.0,N,48,143,1,5.5,0.5,0.5,2.79,0.0,0.3,12.09,2.5,
2,2021-01-01 00:47:59,2021-01-01 00:56:55,1.0,2.87,1.0,N,186,231,1,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5,
1,2021-01-01 00:33:01,2021-01-01 00:46:17,2.0,4.0,1.0,N,246,24,1,14.0,3.0,0.5,3.55,0.0,0.3,21.35,2.5,
1,2021-01-01 00:29:44,2021-01-01 00:37:10,1.0,1.3,1.0,Y,158,211,2,7.0,3.0,0.5,0.0,0.0,0.3,10.8,2.5,
1,2021-01-01 00:52:34,2021-01-01 01:02:06,3.0,2.3,1.0,Y,170,249,1,9.5,3.0,0.5,2.65,0.0,0.3,15.95,2.5,
1,2021-01-01 00:43:00,2021-01-01 00:47:08,1.0,0.8,1.0,N,237,236,1,5.0,3.0,0.5,0.75,0.0,0.3,9.55,2.5,
2,2021-01-01 00:20:06,2021-01-01 00:35:57,1.0,7.0,1.0,N,141,248,2,21.0,0.5,0.5,0.0,0.0,0.3,24.8,2.5,
2,2021-01-01 00:52:28,2021-01-01 00:54:00,1.0,0.51,1.0,N,75,263,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,0.0,
2,2021-01-01 00:56:22,2021-01-01 01:00:09,1.0,1.17,1.0,N,263,141,1,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5,
1,2021-01-01 00:30:01,2021-01-01 00:38:50,1.0,3.0,1.0,Y,162,75,1,10.5,3.0,0.5,2.85,0.0,0.3,17.15,2.5,
1,2021-01-01 00:45:34,2021-01-01 00:51:21,2.0,2.0,1.0,Y,263,233,2,7.5,3.0,0.5,0.0,0.0,0.3,11.3,2.5,
1,2021-01-01 00:34:38,2021-01-01 00:37:27,2.0,1.1,1.0,N,141,263,1,5.0,3.0,0.5,2.5,0.0,0.3,11.3,2.5,
1,2021-01-01 00:39:50,2021-01-01 00:41:19,1.0,0.6,1.0,N,263,141,1,4.0,3.0,0.5,2.0,0.0,0.3,9.8,2.5,
1,2021-01-01 00:47:18,2021-01-01 00:56:54,3.0,2.5,1.0,N,262,142,1,10.0,3.0,0.5,2.0,0.0,0.3,15.8,2.5,
2,2021-01-01 00:22:09,2021-01-01 00:30:51,1.0,3.58,1.0,N,137,263,1,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5,
2,2021-01-01 00:38:55,2021-01-01 00:44:14,1.0,1.24,1.0,N,140,229,1,6.5,0.5,0.5,2.58,0.0,0.3,12.88,2.5,
2,2021-01-01 00:50:24,2021-01-01 01:06:38,1.0,4.78,1.0,N,140,113,1,17.0,0.5,0.5,4.16,0.0,0.3,24.96,2.5,
2,2021-01-01 00:27:50,2021-01-01 00:35:34,1.0,1.69,1.0,N,140,238,1,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5,
2,2021-01-01 00:37:55,2021-01-01 00:42:21,1.0,1.33,1.0,N,239,151,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,
2,2021-01-01 00:06:11,2021-01-01 00:23:40,1.0,8.06,1.0,N,75,264,1,24.5,0.5,0.5,5.66,0.0,0.3,33.96,2.5,
2,2021-01-01 00:30:16,2021-01-01 00:38:53,2.0,2.6,1.0,N,90,142,1,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5,
2,2021-01-01 00:46:02,2021-01-01 00:51:20,1.0,1.4,1.0,N,48,142,1,6.5,0.5,0.5,2.58,0.0,0.3,12.88,2.5,
2,2021-01-01 00:11:49,2021-01-01 00:17:32,1.0,2.44,1.0,N,137,232,2,9.0,0.5,0.5,0.0,0.0,0.3,12.8,2.5,
2,2021-01-01 00:27:59,2021-01-01 00:37:25,1.0,1.58,1.0,N,79,45,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5,
2,2021-01-01 00:49:31,2021-01-01 00:59:10,1.0,3.98,1.0,N,224,75,2,12.5,0.5,0.5,0.0,0.0,0.3,16.3,2.5,
2,2021-01-01 00:52:26,2021-01-01 00:56:08,1.0,1.06,1.0,N,236,75,1,5.5,0.5,0.5,1.0,0.0,0.3,10.3,2.5,
2,2021-01-01 00:23:24,2021-01-01 00:34:29,2.0,1.91,1.0,N,140,142,2,9.5,0.5,0.5,0.0,0.0,0.3,13.3,2.5,
2,2021-01-01 00:12:41,2021-01-01 00:26:47,1.0,4.13,1.0,N,161,226,1,14.5,0.5,0.5,3.66,0.0,0.3,21.96,2.5,
2,2021-01-01 00:23:29,2021-01-01 00:35:03,2.0,4.12,1.0,N,162,74,2,13.5,0.5,0.5,0.0,0.0,0.3,17.3,2.5,
2,2021-01-01 00:46:17,2021-01-01 00:54:25,2.0,2.22,1.0,N,144,170,1,9.0,0.5,0.5,2.56,0.0,0.3,15.36,2.5,
2,2021-01-01 00:28:16,2021-01-01 00:51:44,1.0,7.11,1.0,N,264,264,2,23.5,0.5,0.5,0.0,0.0,0.3,24.8,0.0,
2,2021-01-01 00:42:35,2021-01-01 00:54:41,3.0,1.61,1.0,N,229,237,2,9.5,0.5,0.5,0.0,0.0,0.3,13.3,2.5,
